Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",08/04/2020 8:00,0.005,0.016,0.018,0.06,11.3,3.97,0,4,16,22,22,15,22,08-Apr-20,8:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 8:00,0.005,0.011,0.016,0,9.43,5.12,0,4,11,20,18,20,20,08-Apr-20,8:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 8:00,,0.011,0.014,0,9.09,4.51,0,0,11,18,18,18,18,08-Apr-20,8:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 9:00,0.001,0.02,0.018,0.06,11.57,3.73,0,1,20,22,23,14,23,08-Apr-20,9:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 9:00,0,0.019,0.016,0,9.43,5.09,0,0,19,20,18,20,20,08-Apr-20,9:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 10:00,0,0.023,0.019,0.06,12.23,3.65,0,0,23,24,24,14,24,08-Apr-20,10:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 10:00,0,0.022,0.016,0,9.5,5.39,0,0,22,21,19,21,22,08-Apr-20,10:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 9:00,,0.014,0.014,0,8.98,4.42,0,0,14,17,17,17,17,08-Apr-20,9:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 10:00,,0.019,0.014,0,8.89,4.38,0,0,19,18,17,17,19,08-Apr-20,10:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 11:00,,0.021,0.016,0,8.94,4.26,0,0,21,21,17,17,21,08-Apr-20,11:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 11:00,0,0.025,0.021,0.06,12.38,3.97,0,0,25,26,24,15,26,08-Apr-20,11:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 11:00,0,0.023,0.019,0,9.45,5.39,0,0,23,24,18,21,24,08-Apr-20,11:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 12:00,0,0.026,0.023,0,9.56,5.54,0,0,26,28,19,22,28,08-Apr-20,12:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 12:00,,0.022,0.019,0,9.01,4.24,0,0,22,24,18,16,24,08-Apr-20,12:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 12:00,0,0.026,0.023,0.07,12.58,4.37,0,0,26,29,25,17,29,08-Apr-20,12:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 13:00,0,0.026,0.024,0,9.44,5.57,0,0,26,31,18,22,31,08-Apr-20,13:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 13:00,,0.022,0.021,0,9.03,4.32,0,0,22,26,18,17,26,08-Apr-20,13:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 13:00,0,0.027,0.025,0.07,12.4,4.28,0,0,27,32,24,17,32,08-Apr-20,13:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 14:00,,0.021,0.021,0,9.22,4.5,0,0,21,27,18,18,27,08-Apr-20,14:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 14:00,0,0.026,0.025,0,9.37,5.67,0,0,26,32,18,22,32,08-Apr-20,14:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 14:00,0,0.026,0.026,0.07,12.37,4.82,0,0,26,32,24,19,32,08-Apr-20,14:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 15:00,0,0.025,0.026,0.06,12.26,4.87,0,0,25,32,24,19,32,08-Apr-20,15:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 15:00,0,0.026,0.026,0,9.47,5.59,0,0,26,32,18,22,32,08-Apr-20,15:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 15:00,,0.02,0.021,0,9.22,4.71,0,0,20,26,18,18,26,08-Apr-20,15:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 16:00,,,,,12.52,4.82,,,,,25,19,,08-Apr-20,16:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 16:00,,,,,9.23,4.87,,,,,18,19,19,08-Apr-20,16:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 16:00,,,,,9.43,5.49,,,,,18,21,,08-Apr-20,16:00:00
Florey,"(-35.220606, 149.043539)",08/04/2020 17:00,0,0.022,0.024,0.06,12.33,4.77,0,0,22,30,24,19,30,08-Apr-20,17:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 17:00,0,0.023,0.025,0,9.17,5.39,0,0,23,31,18,21,31,08-Apr-20,17:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 17:00,,0.019,0.02,0,9.13,5.09,0,0,19,25,18,20,25,08-Apr-20,17:00:00
Monash,"(-35.418302, 149.094018)",08/04/2020 19:00,0,0.022,0.023,0,8.82,5.18,0,0,22,29,17,20,29,08-Apr-20,19:00:00
Civic,"(-35.285307, 149.131579)",08/04/2020 19:00,,0.019,0.019,0,8.53,5.27,0,0,19,24,17,21,24,08-Apr-20,19:00:00
